# time(1) RNAp_RNA(2) RNAp_DNA(3) DNAp_RNA(4) DNAp_DNA(5) para_RNA(6) para_DNA(7) RNAp_RNArecog(8) RNAp_DNArecog(9) RNAp_fold(10) DNAp_RNArecog(11) DNAp_DNArecog(12) DNAp_fold(13) para_fold(14) vesicle_pop(15) mean_vol(16) mean_target_vol(17) mean_repli_density(18)
0 44742 0 0 0 56857 0 0.428249 0.404381 0 0 0 0 0 0 0 0 0 
1000 42599 3 2 0 59108 1 0.428527 0.403712 0 0.409823 0.126862 0 0 0 0 0 0 
2000 43489 4 4 1 60875 5 0.426324 0.372145 0 0.413564 0.249397 0 0 0 0 0 0 
3000 47836 1 0 0 64291 0 0.434479 0.374123 0 0 0 0 0 0 0 0 0 
4000 42665 81 71 32 60338 84 0.43731 0.41005 0 0.439243 0.775342 0 0 0 0 0 0 
5000 43045 179 192 166 59749 207 0.436719 0.411347 0 0.384695 0.762678 0 0 0 0 0 0 
6000 42451 201 325 318 64041 340 0.43589 0.417737 0 0.367878 0.764485 0 0 0 0 0 0 
7000 46705 298 344 419 59593 749 0.435254 0.37545 0 0.375857 0.766895 0 0 0 0 0 0 
8000 39851 83 103 99 59096 289 0.437637 0.385443 0 0.371477 0.761545 0 0 0 0 0 0 
9000 42062 152 224 158 60532 414 0.435532 0.392877 0 0.375576 0.764658 0 0 0 0 0 0 
10000 40813 475 658 744 58267 699 0.439835 0.388573 0 0.371323 0.762466 0 0 0 0 0 0 
11000 43575 458 644 1024 64711 1156 0.436548 0.373143 0 0.367825 0.765578 0 0 0 0 0 0 
12000 43183 475 652 681 63260 1332 0.432769 0.404229 0 0.364172 0.76285 0 0 0 0 0 0 
13000 45562 689 788 1088 64849 1737 0.434579 0.398628 0 0.366001 0.776078 0 0 0 0 0 0 
14000 44551 561 657 980 57880 1413 0.442972 0.367766 0 0.369721 0.785643 0 0 0 0 0 0 
15000 38406 1039 1179 1987 54635 2179 0.436053 0.396035 0 0.366954 0.803509 0 0 0 0 0 0 
16000 37543 933 1199 1770 57695 1722 0.437626 0.403069 0 0.374006 0.80168 0 0 0 0 0 0 
17000 37510 1310 1567 2310 53498 2414 0.437082 0.384674 0 0.367298 0.802251 0 0 0 0 0 0 
18000 41337 1162 1306 2014 57945 2002 0.429236 0.39964 0 0.362486 0.795357 0 0 0 0 0 0 
19000 41495 1429 1469 2471 54674 2187 0.424442 0.416977 0 0.364167 0.802088 0 0 0 0 0 0 
20000 44841 1648 1754 3087 56040 2198 0.428432 0.384412 0 0.344253 0.809172 0 0 0 0 0 0 
21000 40968 1624 1608 2933 53921 2558 0.428021 0.371179 0 0.35234 0.815717 0 0 0 0 0 0 
22000 44512 1495 1738 3010 57326 2797 0.428167 0.389998 0 0.347551 0.82127 0 0 0 0 0 0 
23000 41730 1901 1947 3564 53400 3553 0.429051 0.334372 0 0.351775 0.820952 0 0 0 0 0 0 
24000 39845 1473 1557 2483 52606 2916 0.420771 0.340576 0 0.349297 0.828542 0 0 0 0 0 0 
25000 42122 1787 1870 3259 54558 3363 0.424194 0.351421 0 0.343764 0.821789 0 0 0 0 0 0 
26000 38855 1457 1459 2419 55230 2743 0.423324 0.348934 0 0.357941 0.825926 0 0 0 0 0 0 
27000 44782 1649 1799 3221 59446 3527 0.425141 0.323844 0 0.346593 0.842543 0 0 0 0 0 0 
28000 44996 2265 2608 4510 51812 4388 0.429944 0.311952 0 0.344977 0.843016 0 0 0 0 0 0 
29000 39316 2476 2790 4843 49933 4466 0.424979 0.335312 0 0.336252 0.859075 0 0 0 0 0 0 
30000 41459 2968 3084 5772 55137 4379 0.433976 0.375648 0 0.328716 0.852985 0 0 0 0 0 0 
31000 42814 3242 3694 6895 52337 5685 0.428143 0.350935 0 0.334037 0.862829 0 0 0 0 0 0 
